model,mode,query,CR,AR,G,tokens in,tokens out
mistral,rag,situation_belgium,3,3,3,1289,775
mistral,rag,roma_fate_france,1,3,3,959,120
mistral,rag,comparison_countries,2,3,3,2303,390
mistral,rag,listing_institutions,3,3,3,1248,482
mistral,rag,museums_holocaust,2,3,3,1069,220
mistral,rag,camps_with_archive_germany,2,3,3,959,955
mistral,rag,deportations_antwerp,2,3,3,964,594
mistral,rag,raids_amsterdam,2,3,3,1485,622
mistral,rag,visas_countries,2,3,3,944,334
mistral,rag,person_information,3,3,3,2323,494
