model,mode,query,CR,AR,G,tokens in,tokens out
gemini,graphrag,situation_belgium,3,3,3,12186,817
gemini,graphrag,roma_fate_france,0,0,0,9267,44
gemini,graphrag,comparison_countries,1,1,3,8246,536
gemini,graphrag,listing_institutions,3,3,3,12271,947
gemini,graphrag,museums_holocaust,1,3,3,5815,50
gemini,graphrag,camps_with_archive_germany,2,2,3,7439,256
gemini,graphrag,deportations_antwerp,2,2,3,10189,363
gemini,graphrag,raids_amsterdam,3,3,3,6958,398
gemini,graphrag,visas_countries,1,1,3,4947,248
gemini,graphrag,person_information,3,3,3,4517,1354
